CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,PANDEMIC,CASEWGT,PSUSTRAT,VERSION
18342,2020,76,50,1-76-2020-050-07,7,7,2,06:50,1,1,0,0,0,0,0,9,9,0,"V1 was traveling northwest on a two way, two lane, undivided roadway.  An animal entered the roadway from the southern shoulder, and V1 contacted the animal with its frontal plane.  V1 came to final rest on the northern shoulder of the roadway.",0,156.802184764198,3,5
18343,2020,76,51,1-76-2020-051-08,8,7,5,13:52,1,1,1,2,1,0,4,9,9,0,"V1 was traveling north on a two way, two lane, undivided roadway negotiating a right hand curve in the roadway.  A deer entered the roadway from the western side.  V1 while attempting to avoid the animal departed the eastern side of the roadway striking a pole with its frontal plane.  V1 came to final rest off of the roadway.",0,23.5328761442977,3,5
18346,2020,26,105,1-26-2020-105-02,2,7,7,17:51,2,2,1,1,2,0,3,2,2,4,"V1 was in the number 1 lane of a 2-lane roadway, making a left turn from a private driveway to head west. V2 was traveling east in the number 2 lane of a 5-lane undivided roadway. The left front of V1 impacted the front of V2. The force of this collision caused V1 to rotate clockwise and V2 to rotate counter clockwise and both traveled northerly. V1 came to rest in the roadway facing north. V2 continued forward and the front right tire of V2 impacted a curb. V2 came to rest off the roadway facing in a northerly direction.",0,24.5416826327623,10,5
18348,2020,18,48,1-18-2020-048-03,3,7,3,14:38,1,2,99,99,0,0,9,2,2,1,"Vehicle #2 was stopped facing east in lane 1 of a divided trafficway without positive barrier.  Vehicle #1 was traveling east in the same lane.  The front of V1 contacted the back of V2.  Both vehicles came to rest still in the roadway, facing east.",0,124.452827700349,6,5
18357,2020,26,107,1-26-2020-107-09,9,7,1,00:19,2,1,1,1,1,0,4,2,2,0,"V1 was traveling west exiting a freeway in a single lane off ramp. V1 departed the road to the right in a clockwise yaw. The front bumper made contact with the embankment causing minor damage to the front bumper (Event 1). The vehicle increased its rapid clock wise rotation and initiated a ¾ turn rollover sequence (Event 2), coming to rest on the left side plane and facing westerly.",0,1651.08730044388,10,5
18358,2020,21,86,1-21-2020-086-01,1,6,4,05:40,2,1,5,57,1,1,1,9,1,0,"V1 was traveling south in lane 2 direction on a 2-lane divided roadway. V1 departed the left road edge, steered right, re-entered the road and crossed both lanes to the right while rotating clockwise. V1 departed the right road edge and contacted sign with 3 wooden posts with its left side plane. V1 tripped and rolled left 6-quarter turns and came to rest on its top facing north. The driver was completely ejected during the rollover.",1,31.5795971995564,11,5
18329,2020,32,101,1-32-2020-101-03,3,7,2,09:37,3,2,1,1,1,0,4,2,2,5,"V1 was traveling east in the second lane of a straight four lane divided (with positive barrier) major highway. V2 was traveling on the same highway in the same direction in lane four. Both vehicles were approaching the site of a previous crash. The first lane was blocked by police vehicles. By the time the driver of V1 was too close to the crash site, he applied his brakes and steered to the left.  V1 crossed both lanes to its left and encroached into lane four. The left side of V1 impacted the right side of V2. V2 rotated clockwise and departed the roadway to its left. The left side and back of V2 impacted the concrete traffic barrier. V2 bounced back from the traffic barrier and started to rotate counter clockwise. V2 came to rest in lane three, facing west. After the impact with V2, V1 departed the roadway to the left and impacted the concrete traffic barrier with its left side. V1 came to rest at the concrete traffic barrier in lane four, facing east.",0,794.392878466415,7,5
18312,2020,28,50,1-28-2020-050-06,6,7,3,12:11,3,1,2,4,2,0,4,2,2,0,"V1 was north bound on a two lane non divided bidirectional roadway. V1 left the roadway to the right, where it impacted an embankment with its frontal plane and two trees with its right plane. V1 came to final rest facing north on the right side of the roadway.",0,79.6962796716328,3,5
17931,2020,17,76,1-17-2020-076-09,9,6,5,05:41,1,1,1,2,1,0,4,9,9,0,V1 was traveling west on a four lane two way trafficway with a grass median. V1 departed the roadway to the right and the front of V1 contacted a ditch off the roadway. V1 came to final rest off the roadway.,0,491.398917775255,4,5
17930,2020,54,17,1-54-2020-017-03,3,6,1,22:18,1,2,1,2,2,0,4,2,2,4,"V1 was traveling northbound on a median divided roadway, with four lanes in the same direction, approaching an intersection controlled by a traffic signal, attempting to turn left. V2 was traveling southbound on a  median divided roadway, with three lanes in the same direction passing through the same intersection. The front of V1 made contact with the left side of V2. V1 came to a final rest in the south bound roadway and V2 continued forward coming to a final rest off the west side of the roadway.",0,297.668006610472,9,5
17929,2020,14,42,1-14-2020-042-02,2,6,5,08:50,1,2,0,0,0,0,4,2,2,1,"V1 and V2 were traveling in the same direction on the same two-lane roadway. V1 was traveling behind V2. V2 slowed for a vehicle ahead of it that was making a right turn onto an intersecting road. In the original travel lane, the front of V1 contacted the rear of V2. V1 then exited roadway where it came to rest. V2 came to rest in the roadway.",1,329.527147936708,8,5
17928,2020,14,41,1-14-2020-041-02,2,6,1,17:43,1,2,1,1,1,0,4,1,1,1,"V1 was traveling behind V2 on a 2 lane roadway, traveling eastbound.  The front of V1 contacted the back of V2.  V1 continued on and V2 exited the roadway to the right before coming to final rest.",1,329.527147936708,8,5
17927,2020,10,90,1-10-2020-090-09,9,6,4,02:52,3,2,1,2,1,0,4,2,2,1,"V1 was traveling south in the first southbound lane of an eight lane divided highway with a median concrete barrier. V2 was traveling south in the second southbound lane. V1 departed the lane line to the right and the front of V1 impacted with the rear of V2 (event 1). The impact forced V2 to depart two lanes, followed by roadway departure to the left and the front of V2 impacted with the concrete median barrier (event 2). V1 exited the roadway left and struck the concrete median barrier with the left side plane (event 3) and came to final rest off the roadway along side the barrier. V2 came to final rest facing east, against the concrete barrier on the shoulder.",0,773.712375360081,4,5
17926,2020,10,89,1-10-2020-089-06,6,6,1,20:00,2,2,99,99,0,0,0,2,2,4,"V1 was northbound in the first lane on a two-lane, non-physically divided roadway.  V2 was eastbound in the first lane on a two-lane, non-physically divided roadway.  Both vehicles entered the intersection, and the front of V2 impacted the left side of V1. The force of the impact caused V2 to rotate counterclockwise, coming to final rest in the intersection facing north. The force of the impact caused V1 to rotate counterclockwise, and contacting a stop sign post with it's back plane, coming to rest in the northeast corner of the intersection, facing south.",0,216.937850658213,4,5
