CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
18346,26,105,1-26-2020-105-02,2,1,10,24.5416826327623,10,5
18348,18,48,1-18-2020-048-03,3,1,99,124.452827700349,6,5
18329,32,101,1-32-2020-101-03,3,1,99,794.392878466415,7,5
18312,28,50,1-28-2020-050-06,6,1,1,79.6962796716328,3,5
18215,52,107,1-52-2020-107-03,3,3,9,34.6917831019914,12,5
18246,19,96,1-19-2020-096-03,3,1,10,64.5814083383092,9,5
18061,76,46,1-76-2020-046-09,9,1,1,70.8650774447511,3,5
18561,10,116,1-10-2020-116-03,3,1,9,151.616180101372,4,5
18278,30,80,1-30-2020-080-04,4,1,9,905.141822613082,10,5
18541,30,94,1-30-2020-094-06,6,1,5,316.815820332588,10,5
18541,30,94,1-30-2020-094-06,6,1,6,316.815820332588,10,5
18310,52,112,1-52-2020-112-09,9,1,99,147.543033030163,12,5
17160,10,55,1-10-2020-055-07,7,1,9,559.371766358778,4,5
17161,10,56,1-10-2020-056-03,3,1,3,115.600110319228,4,5
19268,19,145,1-19-2020-145-03,3,1,2,114.623840692577,9,5
19269,19,146,1-19-2020-146-07,7,1,10,669.284245883343,9,5
19340,59,55,1-59-2020-055-02,2,1,10,157.102928120366,6,5
18231,66,48,1-66-2020-048-10,10,1,99,245.931127348391,6,5
18263,33,62,1-33-2020-062-06,6,1,1,434.632334778542,12,5
19164,73,79,1-73-2020-079-06,6,2,8,181.778118521491,3,5
19193,26,133,1-26-2020-133-10,10,1,10,9727.94495851407,10,5
18269,21,82,1-21-2020-082-04,4,1,9,1562.75795820311,11,5
16231,19,11,1-19-2020-011-09,9,1,10,686.42190472094,9,5
19185,18,68,1-18-2020-068-09,9,1,1,1129.74260684441,6,5
18593,13,77,1-13-2020-077-04,4,1,5,3047.57309098133,7,5
18594,76,58,1-76-2020-058-10,10,1,99,29.6113433995243,3,5
17988,15,51,1-15-2020-051-03,3,1,9,28.4494878143451,1,5
19305,77,88,1-77-2020-088-08,8,1,3,706.006635420338,9,5
19174,24,142,1-24-2020-142-06,6,1,99,133.271742278577,1,5
19312,48,59,1-48-2020-059-03,3,1,9,76.5749914207246,12,5
19175,17,105,1-17-2020-105-04,4,1,1,1270.47406079443,4,5
18907,14,63,1-14-2020-063-03,3,1,99,768.918782203431,8,5
19035,73,76,1-73-2020-076-03,3,1,10,53.8369739431948,3,5
19091,66,64,1-66-2020-064-05,5,1,99,142.691699376117,6,5
18909,14,65,1-14-2020-065-04,4,1,9,2685.16929681836,8,5
18910,13,84,1-13-2020-084-03,3,1,99,535.347765949043,7,5
19585,24,163,1-24-2020-163-09,9,1,9,1998.78881558328,1,5
